BoroName,mean_charges,sum_costs,Population,Patents_10K
Bronx,33399.9534159351,211774333.22,1385108,64.9696630154472
Brooklyn,38434.2354590164,299636242.62,2504700,58.4501137860822
Manhattan,45550.4849220884,381874718.61,1585873,117.758483813017
Queens,52201.1246858857,240355781.56,2230722,53.8032081093027
Staten Island,36257.2491386033,35322738.86,468730,60.1839011797837
